420;B0615;Berufsakademie Nord GmbH, University of Cooperative Education Hamburg (Private BA);B
421;B1215;ASW - Berufsakademie Saarland Neunkirchen (Private BA) ;B
422;B1220;BA GSS - Berufsakademie für Gesundheits- und Sozialwesen Saarland gGmbH, Saarbrücken (Private BA);B
423;B1225;ISBA gGmbH - Internationale Studien- und Berufsakademie, Saarbrücken (Private BA);B
424;B1310;Berufsakademie Sachsen - Staatliche Studienakademie;B
426;B0718;Deutsche Berufsakademie Sport und Gesundheit (dba) in Baunatal (Private BA);B
427;B0945;Berufsakademie Wilhelmshaven (Private BA);B
428;B1230;Berufsakademie Heimerer GmbH, Quierschied (Private BA);B
484;60287;Promotionszentrum Digitale Technologien und ihre Anwendung,  Deggendorf;6
485;60288;Promotionszentrum Analytics4Health, Coburg;6
486;60289;Promotionszentrum Ressourceneffizienz und Digitalisierung, Amberg-Weiden;6
487;60290;Promotionszentrum Künstliche Intelligenz/Informatik, Ingolstadt ;6
488;60291;Promotionszentrum Ingenieurwissenschaften, Ingolstadt;6
489;60292;Promotionszentrum Integrales Bauen, München;6
490;60293;Promotionszentrum DIWAG, Neu-Ulm	;6
491;60294;Promotionszentrum Angewandte Informatik, Regensburg;6
492;60295;Promotionszentrum Materialien und Produktionstechnik, Nürnberg;6
493;60296;Promotionszentrum CARRI, München;6
494;60438;GU- Deutsche Hochschule für angewandte Wissenschaften, Potsdam (Priv. FH);6
495;61046;INU - Innovative University of Applied Sciences, Köln (Priv. FH);6
496;60185;media Akademie - Hochschule Stuttgart (Priv. FH);6
498;60920;Hochschule Wilhelmshaven/Oldenburg/Elsfleth (FH);6
499;60907;Hochschule Emden/Leer (FH);6
501;61505;Hochschule Flensburg (FH);6
502;61515;FH Kiel;6
503;61520;Technische Hochschule Lübeck (FH);6
505;61535;FH Wedel (Priv. FH);6
506;71505;FH für Verwaltung und Dienstleistung Altenholz (Verw-FH)  ;7
508;51505;Muthesius Kunsthochschule Kiel (Kunst-H);5
509;61510;FH Westküste, Heide;6
511;61355;Evangelische Hochschule Dresden (Kirchl. FH);6
512;61305;H für Technik und Wirtschaft Dresden, Hochschule für angewandte Wissenschaften (FH);6
513;61310;H für Technik, Wirtschaft und Kultur Leipzig, Hochschule für angewandte Wissenschaften (FH);6
514;61315;H Mittweida (University of Applied Sciences), Hochschule für angewandte Wissenschaften (FH);6
515;61320;H Zittau/Görlitz, Hochschule für angewandte Wissenschaften (FH);6
516;61325;Westsächsische H Zwickau, Hochschule für angewandte Wissenschaften (FH);6
519;71310;H der Sächsischen Polizei (FH) (Verw-FH);7
521;60605;H für Angewandte Wissenschaften Hamburg (FH);6
522;60620;HFH Hamburger Fern-H (Priv. FH);6
523;60630;Evang. H für Soziale Arbeit und Diakonie, Hamburg (Kirchl. FH);6
524;70605;Akademie der Polizei Hamburg (Verw-FH);7
525;61036;FH Südwestfalen;6
526;60615;Europ. Fern-H Hamburg GmbH Hamburg (Priv. FH);6
527;60353;Mediadesign Hochschule Berlin in Berlin (Priv. FH);6
528;61525;Hochschule der Wirtschaft (Nordakademie) Elmshorn (Priv. FH);6
531;60905;Hochschule Braunschweig-Wolfenbüttel (FH);6
533;60910;Hochschule Hannover (FH);6
