HochschuleErsteinschreibung;Sortierschlüssel;Name;Gültig ab;Gültig bis;
2770;;H der Bildenden Künste Saarbrücken (Kunst-H);20171;99999;
2790;;U der Künste Berlin (Kunst-H);20171;99999;
2800;;H für Musik Dresden (Kunst-H);20171;99999;
2810;;H für Bildende Künste Hamburg (Kunst-H);20171;99999;
2830;;H für Bildende Künste Braunschweig (Kunst-H);20171;99999;
2850;;H für Musik Weimar (Kunst-H);20171;99999;
2860;;Kunstakademie Düsseldorf (Kunst-H);20171;99999;
2870;;Robert-Schumann-H Düsseldorf (Kunst-H);20171;99999;
2880;;KH für Medien Köln (Kunst-H);20171;99999;
2890;;Kunstakademie Münster (Kunst-H);20171;99999;
2900;;H für Bildende Künste - Städelschule Frankfurt a.M. (Kunst-H);20171;99999;
2920;;H für Gestaltung Offenbach (Kunst-H);20171;99999;
2930;;H für Kirchenmusik der Evang.-Luth. Landeskirche Sachsens, Dresden (Kirchl. Kunst-H);20171;99999;
2940;;Staatl. H für Gestaltung Karlsruhe (Kunst-H);20171;99999;
2950;;Staatl. Akademie der Bildenden Künste Karlsruhe (Kunst-H);20171;99999;
2960;;Staatl. Akademie der Bildenden Künste Stuttgart (Kunst-H);20171;99999;
2980;;Akademie der Bildenden Künste München (Kunst-H);20171;99999;
2990;;Akademie der Bildenden Künste Nürnberg (Kunst-H);20171;99999;
3000;;Evang. H für Kirchenmusik Halle (Kirchl. Kunst-H);20171;99999;
3011;;H für Musik Nürnberg (Kunst-H);20171;99999;
3020;;H für evang. Kirchenmusik Bayreuth (Kirchl. Kunst-H);20171;99999;
3030;;H für Musik und Theater Rostock (Kunst-H);20171;99999;
3040;;H für kath. Kirchenmusik und Musikpädagogik, Regensburg (Kirchl. Kunst-H);20171;99999;
3051;;H Ruhr-West (FH) in Bottrop;20202;99999;
3052;;H Ruhr-West (FH) in Mülheim;20202;99999;
3061;;H Rhein-Waal in Kleve (FH);20202;99999;
3062;;H Rhein-Waal in Kamp-Lintfort (FH);20202;99999;
3071;;H Hamm-Lippstadt in Hamm (FH);20202;99999;
3072;;H Hamm-Lippstadt in Lippstadt (FH);20202;99999;
3080;;Hochschule der bildenden Künste (HBK) Essen  (Priv. Kunst-H);20171;99999;
3090;;HSD Hochschule Döpfer Potsdam in Köln (Priv. FH);20222;99999;
3091;;HSD Hochschule Döpfer Potsdam in Regensburg (Priv. FH);20222;99999;
3092;;HSD Hochschule Döpfer Potsdam in Potsdam (Priv. FH);20222;99999;
3100;;EUF Europa-Universität Flensburg;20171;99999;
3121;;Hochschule für Kommunikation und Gestaltung in Stuttgart (Priv. FH);20171;99999;
3122;;Hochschule für Kommunikation und Gestaltung in Ulm (Priv. FH);20171;99999;
3130;;Barenboim-Said Akademie Berlin (Priv. Kunst-H);20171;99999;
3140;;CODE University of Applied Sciences Berlin (Priv. FH);20172;99999;
3230;;H für Gesellschaftsgestaltung Koblenz (Priv. FH);20231;99999;
3241;;Duale Hochschule Gera-Eisenach in Eisenach (FH);20171;99999;
3242;;Duale Hochschule Gera-Eisenach in Gera (FH);20171;99999;
3250;;Fachhochschule Clara Hoffbauer Potsdam (Priv. FH);20171;99999;
3260;;DHSH - Duale Hochschule Schleswig-Holstein, Kiel (Priv. FH);20182;99999;
3270;;German International University Berlin (Priv. U);20192;99999;
3290;;HMU Health and Medical University Erfurt in Potsdam (Priv. U);20231;99999;
3291;;HMU Health and Medical University Erfurt in Erfurt (Priv. U);20231;99999;
3360;;Digital Business University Berlin (Priv. FH);20192;99999;
